CallerClass,CallerMethod,Permission
com/android/uiautomator/core/UiObject,isFocusable,android.permission.BACKUP
com/android/uiautomator/core/UiObject,isSelected,android.permission.BACKUP
com/android/uiautomator/core/UiObject,isScrollable,android.permission.BACKUP
com/android/server/backup/BackupManagerService,setBackupProvisioned,android.permission.BACKUP
com/android/uiautomator/core/UiObject,isLongClickable,android.permission.BACKUP
com/android/uiautomator/core/UiObject,isChecked,android.permission.BACKUP
com/android/uiautomator/core/UiObject,getPackageName,android.permission.BACKUP
com/android/uiautomator/core/UiObject,getVisibleBounds,android.permission.BACKUP
com/android/uiautomator/core/UiObject,waitForExists,android.permission.BACKUP
com/android/server/backup/BackupManagerService,isBackupEnabled,android.permission.BACKUP
com/android/server/backup/BackupManagerService,getDestinationString,android.permission.BACKUP
com/android/uiautomator/core/UiObject,clickTopLeft,android.permission.BACKUP
com/android/uiautomator/core/UiObject,clickAndWaitForNewWindow,android.permission.BACKUP
com/android/server/backup/BackupManagerService,getDataManagementIntent,android.permission.BACKUP
com/android/server/backup/BackupManagerService,setBackupEnabled,android.permission.BACKUP
com/android/uiautomator/core/UiScrollable,scrollTextIntoView,android.permission.BACKUP
com/android/uiautomator/core/UiObject,clickAndWaitForNewWindow,android.permission.BACKUP
com/android/server/backup/BackupManagerService,acknowledgeFullBackupOrRestore,android.permission.BACKUP
com/android/uiautomator/core/UiScrollable,ensureFullyVisible,android.permission.BACKUP
com/android/server/backup/BackupManagerService,getDataManagementLabel,android.permission.BACKUP
com/android/uiautomator/core/UiObject,click,android.permission.BACKUP
com/android/server/backup/BackupManagerService,setAutoRestore,android.permission.BACKUP
android/view/accessibility/AccessibilityInteractionClient,performAccessibilityAction,android.permission.BACKUP
android/support/v4/app/FragmentActivity,onLowMemory,android.permission.BACKUP
android/view/accessibility/AccessibilityNodeInfo,getChild,android.permission.BACKUP
android/view/accessibility/AccessibilityInteractionClient,onAccessibilityEvent,android.permission.BACKUP
android/view/accessibility/AccessibilityNodeInfo,refresh,android.permission.BACKUP
android/view/accessibility/AccessibilityWindowInfo,getRoot,android.permission.BACKUP
android/view/accessibility/AccessibilityNodeInfo,focusSearch,android.permission.BACKUP
android/view/accessibility/AccessibilityRecord,getSource,android.permission.BACKUP
android/view/accessibility/AccessibilityInteractionClient,findFocus,android.permission.BACKUP
android/view/accessibility/AccessibilityNodeInfo,findFocus,android.permission.BACKUP
android/view/accessibility/AccessibilityInteractionClient,findAccessibilityNodeInfoByAccessibilityId,android.permission.BACKUP
android/view/accessibility/AccessibilityInteractionClient,findAccessibilityNodeInfosByText,android.permission.BACKUP
android/view/accessibility/AccessibilityInteractionClient,focusSearch,android.permission.BACKUP
android/view/accessibility/AccessibilityInteractionClient,getRootInActiveWindow,android.permission.BACKUP
